date,group,positive_cases
2020-08-19,20-29,454
2020-08-19,30-39,331
2020-08-19,40-49,290
2020-08-19,50-59,311
2020-08-19,60-69,184
2020-08-19,70-79,99
2020-08-19,80+,79
2020-08-18,<20,353
2020-08-18,20-29,394
2020-08-18,30-39,290
2020-08-18,40-49,246
2020-08-18,50-59,285
2020-08-18,60-69,174
2020-08-18,70-79,87
2020-08-18,80+,61
2020-08-17,<20,307
2020-08-17,20-29,369
2020-08-17,30-39,243
2020-08-17,40-49,275
2020-08-17,50-59,228
2020-08-17,60-69,152
2020-08-17,70-79,94
2020-08-17,80+,69
2020-08-16,<20,324
2020-08-16,20-29,420
2020-08-16,30-39,321
2020-08-16,40-49,262
2020-08-16,50-59,247
2020-08-16,60-69,153
2020-08-16,70-79,66
2020-08-16,80+,38
2020-08-15,<20,248
2020-08-15,20-29,336
2020-08-15,30-39,230
2020-08-15,40-49,244
2020-08-15,50-59,220
2020-08-15,60-69,117
2020-08-15,70-79,59
2020-08-15,80+,46
2020-08-14,<20,322
2020-08-14,20-29,490
2020-08-14,30-39,334
2020-08-14,40-49,312
2020-08-14,50-59,294
2020-08-14,60-69,176
2020-08-14,70-79,91
2020-08-14,80+,102
2020-08-13,<20,333
2020-08-13,20-29,475
2020-08-13,30-39,335
2020-08-13,40-49,299
2020-08-13,50-59,269
2020-08-13,60-69,179
2020-08-13,70-79,79
2020-08-13,80+,59
2020-08-12,<20,276
2020-08-12,20-29,397
2020-08-12,30-39,272
2020-08-12,40-49,286
2020-08-12,50-59,261
2020-08-12,60-69,163
2020-08-12,70-79,90
2020-08-12,80+,83
2020-08-11,<20,251
2020-08-11,20-29,385
2020-08-11,30-39,249
2020-08-11,40-49,233
2020-08-11,50-59,217
2020-08-11,60-69,148
2020-08-11,70-79,70
2020-08-11,80+,52
2020-08-10,<20,256
2020-08-10,20-29,387
2020-08-10,30-39,308
2020-08-10,40-49,237
2020-08-10,50-59,192
2020-08-10,60-69,125
2020-08-10,70-79,75
2020-08-10,80+,57
2020-08-09,<20,220
2020-08-09,20-29,344
2020-08-09,30-39,232
2020-08-09,40-49,183
2020-08-09,50-59,150
2020-08-09,60-69,110
2020-08-09,70-79,70
2020-08-09,80+,63
2020-08-08,<20,282
2020-08-08,20-29,410
2020-08-08,30-39,275
2020-08-08,40-49,241
2020-08-08,50-59,186
2020-08-08,60-69,159
2020-08-08,70-79,82
2020-08-08,80+,53
2020-08-07,<20,332
2020-08-07,20-29,472
2020-08-07,30-39,368
2020-08-07,40-49,300
2020-08-07,50-59,278
2020-08-07,60-69,170
2020-08-07,70-79,106
2020-08-07,80+,77
2020-08-06,<20,322
2020-08-06,20-29,553
2020-08-06,30-39,316
2020-08-06,40-49,307
2020-08-06,50-59,286
2020-08-06,60-69,174
2020-08-06,70-79,78
2020-08-06,80+,71
2020-08-05,<20,258
2020-08-05,20-29,381
2020-08-05,30-39,284
2020-08-05,40-49,276
2020-08-05,50-59,258
2020-08-05,60-69,191
2020-08-05,70-79,96
2020-08-05,80+,66
2020-08-04,<20,292
2020-08-04,20-29,401
2020-08-04,30-39,267
2020-08-04,40-49,238
2020-08-04,50-59,234
2020-08-04,60-69,133
2020-08-04,70-79,70
2020-08-04,80+,57
2020-08-03,<20,274
2020-08-03,20-29,361
2020-08-03,30-39,271
2020-08-03,40-49,262
2020-08-03,50-59,186
2020-08-03,60-69,140
2020-08-03,70-79,67
2020-08-03,80+,39
2020-08-02,<20,192
2020-08-02,20-29,245
2020-08-02,30-39,207
2020-08-02,40-49,153
2020-08-02,50-59,134
2020-08-02,60-69,116
2020-08-02,70-79,57
2020-08-02,80+,45
2020-08-01,<20,273
2020-08-01,20-29,413
2020-08-01,30-39,313
2020-08-01,40-49,234
2020-08-01,50-59,223
2020-08-01,60-69,140
2020-08-01,70-79,66
2020-08-01,80+,46
2020-07-31,<20,261
2020-07-31,20-29,378
2020-07-31,30-39,312
2020-07-31,40-49,268
2020-07-31,50-59,220
2020-07-31,60-69,134
2020-07-31,70-79,81
2020-07-31,80+,41
2020-07-30,<20,376
2020-07-30,20-29,518
2020-07-30,30-39,316
2020-07-30,40-49,286
2020-07-30,50-59,249
2020-07-30,60-69,149
2020-07-30,70-79,90
2020-07-30,80+,40
2020-07-29,<20,265
2020-07-29,20-29,389
2020-07-29,30-39,252
2020-07-29,40-49,223
2020-07-29,50-59,206
2020-07-29,60-69,130
2020-07-29,70-79,76
2020-07-29,80+,46
2020-07-28,<20,229
2020-07-28,20-29,304
2020-07-28,30-39,190
2020-07-28,40-49,180
2020-07-28,50-59,184
2020-07-28,60-69,111
2020-07-28,70-79,63
2020-07-28,80+,27
2020-07-27,<20,191
2020-07-27,20-29,269
2020-07-27,30-39,197
2020-07-27,40-49,161
2020-07-27,50-59,160
2020-07-27,60-69,95
2020-07-27,70-79,64
2020-07-27,80+,29
2020-07-26,<20,196
2020-07-26,20-29,283
2020-07-26,30-39,175
2020-07-26,40-49,170
2020-07-26,50-59,133
2020-07-26,60-69,89
2020-07-26,70-79,45
2020-07-26,80+,21
2020-07-25,<20,270
2020-07-25,20-29,408
2020-07-25,30-39,255
2020-07-25,40-49,222
2020-07-25,50-59,208
2020-07-25,60-69,149
2020-07-25,70-79,58
2020-07-25,80+,39
2020-07-24,<20,229
2020-07-24,20-29,383
2020-07-24,30-39,252
2020-07-24,40-49,215
2020-07-24,50-59,191
2020-07-24,60-69,132
2020-07-24,70-79,69
2020-07-24,80+,44
2020-07-23,<20,240
2020-07-23,20-29,389
2020-07-23,30-39,293
2020-07-23,40-49,200
2020-07-23,50-59,210
2020-07-23,60-69,142
2020-07-23,70-79,76
2020-07-23,80+,63
2020-07-22,<20,240
2020-07-22,20-29,347
2020-07-22,30-39,223
2020-07-22,40-49,225
2020-07-22,50-59,185
2020-07-22,60-69,125
2020-07-22,70-79,64
2020-07-22,80+,40
2020-07-21,<20,224
2020-07-21,20-29,344
2020-07-21,30-39,262
2020-07-21,40-49,215
2020-07-21,50-59,187
2020-07-21,60-69,105
2020-07-21,70-79,68
2020-07-21,80+,37
2020-07-20,<20,157
2020-07-20,20-29,268
2020-07-20,30-39,179
2020-07-20,40-49,145
2020-07-20,50-59,149
2020-07-20,60-69,102
2020-07-20,70-79,45
2020-07-20,80+,25
2020-07-19,<20,200
2020-07-19,20-29,265
2020-07-19,30-39,169
2020-07-19,40-49,173
2020-07-19,50-59,178
2020-07-19,60-69,113
2020-07-19,70-79,58
2020-07-19,80+,29
2020-07-18,<20,159
2020-07-18,20-29,267
2020-07-18,30-39,177
2020-07-18,40-49,147
2020-07-18,50-59,152
2020-07-18,60-69,86
2020-07-18,70-79,34
2020-07-18,80+,19
2020-07-17,<20,218
2020-07-17,20-29,386
2020-07-17,30-39,202
2020-07-17,40-49,210
2020-07-17,50-59,204
2020-07-17,60-69,116
2020-07-17,70-79,58
2020-07-17,80+,42
2020-07-16,<20,219
2020-07-16,20-29,288
2020-07-16,30-39,204
2020-07-16,40-49,170
2020-07-16,50-59,182
2020-07-16,60-69,88
2020-07-16,70-79,55
2020-07-16,80+,44
2020-07-15,<20,252
2020-07-15,20-29,326
2020-07-15,30-39,172
2020-07-15,40-49,195
2020-07-15,50-59,157
2020-07-15,60-69,120
2020-07-15,70-79,66
2020-07-15,80+,45
2020-07-14,<20,183
2020-07-14,20-29,318
2020-07-14,30-39,203
2020-07-14,40-49,163
2020-07-14,50-59,135
2020-07-14,60-69,99
2020-07-14,70-79,43
2020-07-14,80+,32
2020-07-13,<20,169
2020-07-13,20-29,207
2020-07-13,30-39,145
2020-07-13,40-49,122
2020-07-13,50-59,123
2020-07-13,60-69,74
2020-07-13,70-79,38
2020-07-13,80+,29
2020-07-12,<20,156
2020-07-12,20-29,249
2020-07-12,30-39,142
2020-07-12,40-49,124
2020-07-12,50-59,128
2020-07-12,60-69,73
2020-07-12,70-79,38
2020-07-12,80+,26
2020-07-11,<20,190
2020-07-11,20-29,304
2020-07-11,30-39,208
2020-07-11,40-49,191
2020-07-11,50-59,124
2020-07-11,60-69,98
2020-07-11,70-79,44
2020-07-11,80+,35
2020-07-10,<20,178
2020-07-10,20-29,308
2020-07-10,30-39,191
2020-07-10,40-49,170
2020-07-10,50-59,138
2020-07-10,60-69,99
2020-07-10,70-79,49
2020-07-10,80+,32
2020-07-09,<20,174
2020-07-09,20-29,279
2020-07-09,30-39,169
2020-07-09,40-49,166
2020-07-09,50-59,161
2020-07-09,60-69,117
2020-07-09,70-79,58
2020-07-09,80+,64
2020-07-08,<20,133
2020-07-08,20-29,258
2020-07-08,30-39,159
2020-07-08,40-49,163
2020-07-08,50-59,153
2020-07-08,60-69,78
2020-07-08,70-79,53
2020-07-08,80+,39
2020-07-07,<20,84
2020-07-07,20-29,189
2020-07-07,30-39,123
2020-07-07,40-49,108
2020-07-07,50-59,114
2020-07-07,60-69,65
2020-07-07,70-79,50
2020-07-07,80+,46
2020-07-06,<20,120
2020-07-06,20-29,176
2020-07-06,30-39,115
2020-07-06,40-49,91
2020-07-06,50-59,101
2020-07-06,60-69,56
2020-07-06,70-79,38
2020-07-06,80+,32
2020-07-05,<20,88
2020-07-05,20-29,144
2020-07-05,30-39,85
2020-07-05,40-49,66
2020-07-05,50-59,77
2020-07-05,60-69,45
2020-07-05,70-79,35
2020-07-05,80+,9
2020-07-04,<20,120
2020-07-04,20-29,184
2020-07-04,30-39,144
2020-07-04,40-49,107
2020-07-04,50-59,95
2020-07-04,60-69,82
2020-07-04,70-79,29
2020-07-04,80+,23
2020-07-03,<20,127
2020-07-03,20-29,221
2020-07-03,30-39,131
2020-07-03,40-49,118
2020-07-03,50-59,131
2020-07-03,60-69,55
2020-07-03,70-79,36
2020-07-03,80+,23
2020-07-02,<20,127
2020-07-02,20-29,281
2020-07-02,30-39,149
2020-07-02,40-49,119
2020-07-02,50-59,118
2020-07-02,60-69,67
2020-07-02,70-79,34
2020-07-02,80+,49
2020-07-01,<20,131
2020-07-01,20-29,191
2020-07-01,30-39,123
2020-07-01,40-49,97
2020-07-01,50-59,114
2020-07-01,60-69,73
2020-07-01,70-79,36
2020-07-01,80+,36
2020-06-30,<20,113
2020-06-30,20-29,230
2020-06-30,30-39,134
2020-06-30,40-49,136
2020-06-30,50-59,140
2020-06-30,60-69,88
2020-06-30,70-79,49
2020-06-30,80+,51
2020-06-29,<20,127
2020-06-29,20-29,210
2020-06-29,30-39,126
2020-06-29,40-49,126
2020-06-29,50-59,89
2020-06-29,60-69,66
2020-06-29,70-79,33
2020-06-29,80+,44
2020-06-28,<20,80
2020-06-28,20-29,147
2020-06-28,30-39,114
2020-06-28,40-49,80
2020-06-28,50-59,68
2020-06-28,60-69,46
2020-06-28,70-79,36
2020-06-28,80+,27
2020-06-27,<20,82
2020-06-27,20-29,139
2020-06-27,30-39,122
2020-06-27,40-49,87
2020-06-27,50-59,94
2020-06-27,60-69,68
2020-06-27,70-79,36
2020-06-27,80+,27
2020-06-26,<20,122
2020-06-26,20-29,226
2020-06-26,30-39,162
2020-06-26,40-49,124
2020-06-26,50-59,94
2020-06-26,60-69,75
2020-06-26,70-79,41
2020-06-26,80+,52
2020-06-25,<20,99
2020-06-25,20-29,210
2020-06-25,30-39,129
2020-06-25,40-49,118
2020-06-25,50-59,88
2020-06-25,60-69,58
2020-06-25,70-79,61
2020-06-25,80+,61
2020-06-24,<20,109
2020-06-24,20-29,180
2020-06-24,30-39,108
2020-06-24,40-49,106
2020-06-24,50-59,114
2020-06-24,60-69,72
2020-06-24,70-79,51
2020-06-24,80+,62
2020-06-23,<20,91
2020-06-23,20-29,188
2020-06-23,30-39,133
2020-06-23,40-49,99
2020-06-23,50-59,99
2020-06-23,60-69,56
2020-06-23,70-79,51
2020-06-23,80+,52
2020-06-22,<20,100
2020-06-22,20-29,146
2020-06-22,30-39,87
2020-06-22,40-49,87
2020-06-22,50-59,73
2020-06-22,60-69,65
2020-06-22,70-79,41
2020-06-22,80+,40
2020-06-21,<20,67
2020-06-21,20-29,115
2020-06-21,30-39,59
2020-06-21,40-49,64
2020-06-21,50-59,47
2020-06-21,60-69,38
2020-06-21,70-79,24
2020-06-21,80+,24
2020-06-20,<20,108
2020-06-20,20-29,144
2020-06-20,30-39,108
2020-06-20,40-49,94
2020-06-20,50-59,93
2020-06-20,60-69,74
2020-06-20,70-79,33
2020-06-20,80+,47
2020-06-19,<20,87
2020-06-19,20-29,126
2020-06-19,30-39,102
2020-06-19,40-49,93
2020-06-19,50-59,95
2020-06-19,60-69,73
2020-06-19,70-79,34
2020-06-19,80+,57
2020-06-18,<20,74
2020-06-18,20-29,163
2020-06-18,30-39,127
2020-06-18,40-49,90
2020-06-18,50-59,82
2020-06-18,60-69,74
2020-06-18,70-79,32
2020-06-18,80+,49
2020-06-17,<20,90
2020-06-17,20-29,127
2020-06-17,30-39,103
2020-06-17,40-49,91
2020-06-17,50-59,93
2020-06-17,60-69,83
2020-06-17,70-79,38
2020-06-17,80+,26
2020-06-16,<20,116
2020-06-16,20-29,138
2020-06-16,30-39,115
2020-06-16,40-49,121
2020-06-16,50-59,110
2020-06-16,60-69,71
2020-06-16,70-79,53
2020-06-16,80+,63
2020-06-15,<20,80
2020-06-15,20-29,123
2020-06-15,30-39,89
2020-06-15,40-49,94
2020-06-15,50-59,83
2020-06-15,60-69,62
2020-06-15,70-79,44
2020-06-15,80+,51
2020-06-14,<20,92
2020-06-14,20-29,108
2020-06-14,30-39,88
2020-06-14,40-49,93
2020-06-14,50-59,66
2020-06-14,60-69,56
2020-06-14,70-79,32
2020-06-14,80+,18
2020-06-13,<20,94
2020-06-13,20-29,112
2020-06-13,30-39,88
2020-06-13,40-49,90
2020-06-13,50-59,92
2020-06-13,60-69,51
2020-06-13,70-79,36
2020-06-13,80+,33
2020-06-12,<20,101
2020-06-12,20-29,170
2020-06-12,30-39,125
2020-06-12,40-49,110
2020-06-12,50-59,89
2020-06-12,60-69,80
2020-06-12,70-79,40
2020-06-12,80+,60
2020-06-11,<20,82
2020-06-11,20-29,143
2020-06-11,30-39,122
2020-06-11,40-49,115
2020-06-11,50-59,115
2020-06-11,60-69,85
2020-06-11,70-79,43
2020-06-11,80+,67
2020-06-10,<20,91
2020-06-10,20-29,144
2020-06-10,30-39,131
2020-06-10,40-49,130
2020-06-10,50-59,122
2020-06-10,60-69,72
2020-06-10,70-79,67
2020-06-10,80+,61
2020-06-09,<20,78
2020-06-09,20-29,145
2020-06-09,30-39,110
2020-06-09,40-49,132
2020-06-09,50-59,113
2020-06-09,60-69,88
2020-06-09,70-79,54
2020-06-09,80+,83
2020-06-08,<20,95
2020-06-08,20-29,190
2020-06-08,30-39,154
2020-06-08,40-49,142
2020-06-08,50-59,125
2020-06-08,60-69,105
2020-06-08,70-79,61
2020-06-08,80+,104
2020-06-07,<20,77
2020-06-07,20-29,136
2020-06-07,30-39,121
2020-06-07,40-49,123
2020-06-07,50-59,87
2020-06-07,60-69,59
2020-06-07,70-79,41
2020-06-07,80+,64
2020-06-06,<20,98
2020-06-06,20-29,163
2020-06-06,30-39,157
2020-06-06,40-49,163
2020-06-06,50-59,141
2020-06-06,60-69,86
2020-06-06,70-79,59
2020-06-06,80+,59
2020-06-05,<20,115
2020-06-05,20-29,243
2020-06-05,30-39,172
2020-06-05,40-49,197
2020-06-05,50-59,198
2020-06-05,60-69,149
2020-06-05,70-79,83
2020-06-05,80+,129
2020-06-04,<20,112
2020-06-04,20-29,150
2020-06-04,30-39,145
2020-06-04,40-49,155
2020-06-04,50-59,109
2020-06-04,60-69,95
2020-06-04,70-79,42
2020-06-04,80+,61
2020-06-03,<20,78
2020-06-03,20-29,153
2020-06-03,30-39,152
2020-06-03,40-49,157
2020-06-03,50-59,152
2020-06-03,60-69,127
2020-06-03,70-79,59
2020-06-03,80+,70
2020-06-02,<20,201
2020-06-02,20-29,300
2020-06-02,30-39,287
2020-06-02,40-49,304
2020-06-02,50-59,235
2020-06-02,60-69,123
2020-06-02,70-79,66
2020-06-02,80+,63
2020-06-01,<20,93
2020-06-01,20-29,220
2020-06-01,30-39,186
2020-06-01,40-49,198
2020-06-01,50-59,148
2020-06-01,60-69,107
2020-06-01,70-79,69
2020-06-01,80+,75
2020-05-31,<20,131
2020-05-31,20-29,193
2020-05-31,30-39,192
2020-05-31,40-49,165
2020-05-31,50-59,151
2020-05-31,60-69,107
2020-05-31,70-79,48
2020-05-31,80+,59
2020-05-30,<20,152
2020-05-30,20-29,248
2020-05-30,30-39,193
2020-05-30,40-49,216
2020-05-30,50-59,173
2020-05-30,60-69,139
2020-05-30,70-79,84
2020-05-30,80+,82
2020-05-29,<20,201
2020-05-29,20-29,321
2020-05-29,30-39,297
2020-05-29,40-49,309
2020-05-29,50-59,231
2020-05-29,60-69,160
2020-05-29,70-79,85
2020-05-29,80+,103
2020-05-28,<20,201
2020-05-28,20-29,273
2020-05-28,30-39,241
2020-05-28,40-49,262
2020-05-28,50-59,238
2020-05-28,60-69,164
2020-05-28,70-79,88
2020-05-28,80+,96
2020-05-27,<20,172
2020-05-27,20-29,296
2020-05-27,30-39,259
2020-05-27,40-49,276
2020-05-27,50-59,228
2020-05-27,60-69,180
2020-05-27,70-79,101
2020-05-27,80+,118
2020-05-26,<20,123
2020-05-26,20-29,224
2020-05-26,30-39,215
2020-05-26,40-49,207
2020-05-26,50-59,216
2020-05-26,60-69,196
2020-05-26,70-79,107
2020-05-26,80+,130
2020-05-25,<20,121
2020-05-25,20-29,222
2020-05-25,30-39,180
2020-05-25,40-49,219
2020-05-25,50-59,179
2020-05-25,60-69,150
2020-05-25,70-79,62
2020-05-25,80+,41
2020-05-24,<20,204
2020-05-24,20-29,335
2020-05-24,30-39,330
2020-05-24,40-49,338
2020-05-24,50-59,283
2020-05-24,60-69,180
2020-05-24,70-79,82
2020-05-24,80+,97
2020-05-23,<20,253
2020-05-23,20-29,443
2020-05-23,30-39,421
2020-05-23,40-49,394
2020-05-23,50-59,356
2020-05-23,60-69,208
2020-05-23,70-79,135
2020-05-23,80+,173
2020-05-22,<20,243
2020-05-22,20-29,490
2020-05-22,30-39,455
2020-05-22,40-49,444
2020-05-22,50-59,389
2020-05-22,60-69,268
2020-05-22,70-79,119
2020-05-22,80+,148
2020-05-21,<20,281
2020-05-21,20-29,515
2020-05-21,30-39,504
2020-05-21,40-49,476
2020-05-21,50-59,427
2020-05-21,60-69,258
2020-05-21,70-79,125
2020-05-21,80+,137
2020-05-20,<20,267
2020-05-20,20-29,394
2020-05-20,30-39,352
2020-05-20,40-49,378
2020-05-20,50-59,345
2020-05-20,60-69,247
2020-05-20,70-79,138
2020-05-20,80+,185
2020-05-19,<20,241
2020-05-19,20-29,450
2020-05-19,30-39,417
2020-05-19,40-49,394
2020-05-19,50-59,388
2020-05-19,60-69,228
2020-05-19,70-79,95
2020-05-19,80+,71
2020-05-18,<20,160
2020-05-18,20-29,312
2020-05-18,30-39,332
2020-05-18,40-49,327
2020-05-18,50-59,263
2020-05-18,60-69,178
2020-05-18,70-79,95
2020-05-18,80+,122
2020-05-17,<20,175
2020-05-17,20-29,352
2020-05-17,30-39,384
2020-05-17,40-49,346
2020-05-17,50-59,294
2020-05-17,60-69,207
2020-05-17,70-79,89
2020-05-17,80+,86
2020-05-16,<20,190
2020-05-16,20-29,346
2020-05-16,30-39,304
2020-05-16,40-49,290
2020-05-16,50-59,263
2020-05-16,60-69,199
2020-05-16,70-79,116
2020-05-16,80+,109
2020-05-15,<20,216
2020-05-15,20-29,451
2020-05-15,30-39,404
2020-05-15,40-49,434
2020-05-15,50-59,410
2020-05-15,60-69,298
2020-05-15,70-79,141
2020-05-15,80+,165
2020-05-14,<20,288
2020-05-14,20-29,516
2020-05-14,30-39,533
2020-05-14,40-49,512
2020-05-14,50-59,491
2020-05-14,60-69,265
2020-05-14,70-79,134
2020-05-14,80+,115
2020-05-13,<20,237
2020-05-13,20-29,460
2020-05-13,30-39,444
2020-05-13,40-49,502
2020-05-13,50-59,350
2020-05-13,60-69,252
2020-05-13,70-79,142
2020-05-13,80+,111
2020-05-12,<20,171
2020-05-12,20-29,315
2020-05-12,30-39,328
2020-05-12,40-49,367
2020-05-12,50-59,296
2020-05-12,60-69,234
2020-05-12,70-79,141
2020-05-12,80+,136
2020-05-11,<20,300
2020-05-11,20-29,687
2020-05-11,30-39,695
2020-05-11,40-49,758
2020-05-11,50-59,632
2020-05-11,60-69,359
2020-05-11,70-79,179
2020-05-11,80+,202
2020-05-10,<20,108
2020-05-10,20-29,189
2020-05-10,30-39,211
2020-05-10,40-49,189
2020-05-10,50-59,193
2020-05-10,60-69,134
2020-05-10,70-79,82
2020-05-10,80+,92
2020-05-09,<20,139
2020-05-09,20-29,280
2020-05-09,30-39,261
2020-05-09,40-49,338
2020-05-09,50-59,289
2020-05-09,60-69,185
2020-05-09,70-79,77
2020-05-09,80+,119
2020-05-08,<20,208
2020-05-08,20-29,484
2020-05-08,30-39,422
2020-05-08,40-49,437
2020-05-08,50-59,406
2020-05-08,60-69,262
2020-05-08,70-79,136
2020-05-08,80+,141
2020-05-07,<20,242
2020-05-07,20-29,500
2020-05-07,30-39,508
2020-05-07,40-49,597
2020-05-07,50-59,527
2020-05-07,60-69,328
2020-05-07,70-79,172
2020-05-07,80+,137
2020-05-06,<20,217
2020-05-06,20-29,475
2020-05-06,30-39,482
2020-05-06,40-49,509
2020-05-06,50-59,479
2020-05-06,60-69,339
2020-05-06,70-79,200
2020-05-06,80+,245
2020-05-05,<20,162
2020-05-05,20-29,389
2020-05-05,30-39,413
2020-05-05,40-49,406
2020-05-05,50-59,408
2020-05-05,60-69,242
2020-05-05,70-79,140
2020-05-05,80+,182
2020-05-04,<20,174
2020-05-04,20-29,412
2020-05-04,30-39,386
2020-05-04,40-49,466
2020-05-04,50-59,412
2020-05-04,60-69,263
2020-05-04,70-79,170
2020-05-04,80+,152
2020-05-03,<20,152
2020-05-03,20-29,362
2020-05-03,30-39,400
2020-05-03,40-49,395
2020-05-03,50-59,360
2020-05-03,60-69,249
2020-05-03,70-79,123
2020-05-03,80+,140
2020-05-02,<20,217
2020-05-02,20-29,529
2020-05-02,30-39,486
2020-05-02,40-49,542
2020-05-02,50-59,559
2020-05-02,60-69,369
2020-05-02,70-79,181
2020-05-02,80+,209
2020-05-01,<20,200
2020-05-01,20-29,451
2020-05-01,30-39,498
2020-05-01,40-49,437
2020-05-01,50-59,476
2020-05-01,60-69,279
2020-05-01,70-79,161
2020-05-01,80+,181
2020-04-30,<20,208
2020-04-30,20-29,435
2020-04-30,30-39,499
2020-04-30,40-49,572
2020-04-30,50-59,519
2020-04-30,60-69,325
2020-04-30,70-79,152
2020-04-30,80+,137
2020-04-29,<20,130
2020-04-29,20-29,433
2020-04-29,30-39,430
2020-04-29,40-49,459
2020-04-29,50-59,447
2020-04-29,60-69,312
2020-04-29,70-79,166
2020-04-29,80+,200
2020-04-28,<20,143
2020-04-28,20-29,374
2020-04-28,30-39,360
2020-04-28,40-49,463
2020-04-28,50-59,380
2020-04-28,60-69,288
2020-04-28,70-79,120
2020-04-28,80+,180
2020-04-27,<20,104
2020-04-27,20-29,345
2020-04-27,30-39,343
2020-04-27,40-49,341
2020-04-27,50-59,369
2020-04-27,60-69,254
2020-04-27,70-79,140
2020-04-27,80+,195
2020-04-26,<20,89
2020-04-26,20-29,301
2020-04-26,30-39,328
2020-04-26,40-49,349
2020-04-26,50-59,353
2020-04-26,60-69,273
2020-04-26,70-79,138
2020-04-26,80+,180
2020-04-25,<20,110
2020-04-25,20-29,307
2020-04-25,30-39,334
2020-04-25,40-49,420
2020-04-25,50-59,450
2020-04-25,60-69,350
2020-04-25,70-79,165
2020-04-25,80+,179
2020-04-24,<20,122
2020-04-24,20-29,313
2020-04-24,30-39,390
2020-04-24,40-49,376
2020-04-24,50-59,405
2020-04-24,60-69,278
2020-04-24,70-79,175
2020-04-24,80+,246
2020-04-23,<20,100
2020-04-23,20-29,393
2020-04-23,30-39,427
2020-04-23,40-49,448
2020-04-23,50-59,453
2020-04-23,60-69,307
2020-04-23,70-79,172
2020-04-23,80+,195
2020-04-22,<20,70
2020-04-22,20-29,295
2020-04-22,30-39,333
2020-04-22,40-49,346
2020-04-22,50-59,383
2020-04-22,60-69,236
2020-04-22,70-79,135
2020-04-22,80+,143
2020-04-21,<20,74
2020-04-21,20-29,257
2020-04-21,30-39,291
2020-04-21,40-49,347
2020-04-21,50-59,331
2020-04-21,60-69,234
2020-04-21,70-79,166
2020-04-21,80+,223
2020-04-20,<20,65
2020-04-20,20-29,183
2020-04-20,30-39,162
2020-04-20,40-49,223
2020-04-20,50-59,247
2020-04-20,60-69,171
2020-04-20,70-79,116
2020-04-20,80+,129
2020-04-19,<20,54
2020-04-19,20-29,135
2020-04-19,30-39,158
2020-04-19,40-49,164
2020-04-19,50-59,186
2020-04-19,60-69,146
2020-04-19,70-79,69
2020-04-19,80+,71
2020-04-18,<20,56
2020-04-18,20-29,250
2020-04-18,30-39,262
2020-04-18,40-49,296
2020-04-18,50-59,290
2020-04-18,60-69,221
2020-04-18,70-79,112
2020-04-18,80+,121
2020-04-17,<20,84
2020-04-17,20-29,274
2020-04-17,30-39,298
2020-04-17,40-49,379
2020-04-17,50-59,377
2020-04-17,60-69,264
2020-04-17,70-79,139
2020-04-17,80+,122
2020-04-16,<20,58
2020-04-16,20-29,161
2020-04-16,30-39,168
2020-04-16,40-49,183
2020-04-16,50-59,255
2020-04-16,60-69,152
2020-04-16,70-79,81
2020-04-16,80+,112
2020-04-15,<20,36
2020-04-15,20-29,158
2020-04-15,30-39,199
2020-04-15,40-49,257
2020-04-15,50-59,281
2020-04-15,60-69,166
2020-04-15,70-79,129
2020-04-15,80+,126
2020-04-14,<20,49
2020-04-14,20-29,145
2020-04-14,30-39,191
2020-04-14,40-49,171
2020-04-14,50-59,233
2020-04-14,60-69,182
2020-04-14,70-79,130
2020-04-14,80+,115
2020-04-13,<20,17
2020-04-13,20-29,145
2020-04-13,30-39,196
2020-04-13,40-49,221
2020-04-13,50-59,215
2020-04-13,60-69,195
2020-04-13,70-79,94
2020-04-13,80+,97
2020-04-12,<20,29
2020-04-12,20-29,176
2020-04-12,30-39,212
2020-04-12,40-49,226
2020-04-12,50-59,252
2020-04-12,60-69,152
2020-04-12,70-79,93
2020-04-12,80+,105
2020-04-11,<20,51
2020-04-11,20-29,197
2020-04-11,30-39,269
2020-04-11,40-49,300
2020-04-11,50-59,311
2020-04-11,60-69,198
2020-04-11,70-79,118
2020-04-11,80+,125
2020-04-10,<20,21
2020-04-10,20-29,196
2020-04-10,30-39,250
2020-04-10,40-49,312
2020-04-10,50-59,308
2020-04-10,60-69,240
2020-04-10,70-79,107
2020-04-10,80+,109
2020-04-09,<20,35
2020-04-09,20-29,160
2020-04-09,30-39,228
2020-04-09,40-49,271
2020-04-09,50-59,293
2020-04-09,60-69,233
2020-04-09,70-79,128
2020-04-09,80+,122
2020-04-08,<20,23
2020-04-08,20-29,172
2020-04-08,30-39,204
2020-04-08,40-49,236
2020-04-08,50-59,299
2020-04-08,60-69,234
2020-04-08,70-79,150
2020-04-08,80+,122
2020-04-07,<20,19
2020-04-07,20-29,144
2020-04-07,30-39,216
2020-04-07,40-49,222
2020-04-07,50-59,243
2020-04-07,60-69,199
2020-04-07,70-79,132
2020-04-07,80+,113
2020-04-06,<20,28
2020-04-06,20-29,157
2020-04-06,30-39,190
2020-04-06,40-49,273
2020-04-06,50-59,278
2020-04-06,60-69,202
2020-04-06,70-79,112
2020-04-06,80+,82
2020-04-05,<20,15
2020-04-05,20-29,91
2020-04-05,30-39,109
2020-04-05,40-49,174
2020-04-05,50-59,151
2020-04-05,60-69,159
2020-04-05,70-79,106
2020-04-05,80+,74
2020-04-04,<20,15
2020-04-04,20-29,127
